endpoint,lookup,fields
reports,id,"reportTemplate,reportDateTime,submittedOn,account,position,reportFields,approvedOn,status,approvedBy,checkpoint,reportFlag,siteLocation,geoLocation,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
report-template-fields,id,"label,name,type,required,adminOnly,displayOrder,extra,list,isDispatcherField,reportTemplate,confidential,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
report-templates,id,"name,details,reportFields,adminOnly,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
role-permissions,id,"permission,role,id,uri,resourceType"
roles,id,"name,description,portal,order,account,permissions,id,uri,resourceType"
schedule-off-periods,id,"startedOn,endedOn,description,employee,active,id,uri,resourceType"
schedulers,id,"label,repeat,startDateTime,endDateTime,timeZone,every,weekDay,monthDay,yearDay,status,lastPerform,nextPerform,graceValueBefore,graceUnitBefore,graceValueAfter,graceUnitAfter,createUserId,updateUserId,createTime,updateTime,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
schedule-time-off-requests,id,"description,startOffPeriodDateTime,endOffPeriodDateTime,status,reason,reviewer,reviewedOn,type,employee,account,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
schedule-time-off-request-types,id,"name,payrollCode,paidTimeOff,hourly,salary,id,uri,resourceType"
shift-logs,id,"changeType,shift,employee,createdBy,createdOn,note,shiftDetails,isValid,id,uri,resourceType"
shift-notes,id,"content,createdOn,createdBy,type,shift,id,uri,resourceType"
shift-proposal-queue-items,id,"viaSms,viaEmail,viaCall,shift,employee,sentOn,answeredOn,expiresOn,answer,status,email,smsNumber,callNumber,premiumType,premiumFixedAmount,premiumTopAmount,effectiveRate,distributionSequenceIndex,distributionType,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
shifts,id,"status,billable,vacant,onShiftBoard,startDateTime,startsOn,endDateTime,endsOn,breakInMinutes,published,employee,position,notes,modifiedOn,notified,acknowledged,locked,plannedDurationHours,plannedPayableHours,clockedHours,billableHours,payableHours,payRateLevel,payRate,attendanceStatus,workSessions,overtimeHours,paidAmount,billedAmount,holidayHours,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
shift-templates,id,"position,startTime,endTime,startDayIndex,startDayLabel,endDayIndex,endDayLabel,beginDate,endDate,employee,vacant,onShiftBoard,breakInMinutes,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
site-locations,id,"name,type,account,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
skill-categories,id,"customId,name,description,id,uri,resourceType"
skills,id,"customId,category,name,dateLabel,label1,label2,label3,region,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
system-settings,id,"tag,value,domainFilter,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
system-usage-logs,id,"type,unit,logId,occurredOn,data,logDate,region,employee,id,uri,resourceType"
task-price-tiers,id,"customId,name,account,contract,billItem,taxClass,chargeType,rate,rateMatrix,serviceModel,holiday,instructions,effectiveDate,validUntilDate,cancellationThresholdInMinutes,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
task-site-instructions,id,"taskType,site,jobInstructions,generalInstructions,checkPointTour,priceTier,id,uri,resourceType"
task-site-settings,id,"generalInstructions,taskInstructions,id,uri,resourceType"
task-types,id,"name,dispatchable,schedulable,billable,prefix,active,reportTemplate,priority,dispatchGroup,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
tax-classes,id,"name,customId,region,id,uri,resourceType"
tax-class-items,id,"percentage,code,number,taxClass,id,uri,resourceType"
twilio-accounts,id,"id,sid,token,uri,resourceType"
user-login-logs,id,"user,loggedInOn,ip,userAgent,method,id,uri,resourceType"
user-notification-settings,id,"communications,user,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
users,id,"firstName,lastName,name,primaryPhone,secondaryPhone,username,email,customId,account,status,type,lastLoggedInOn,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
vehicles,id,"name,region,make,model,ownershipType,color,status,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
vendors,id,"name,mainEmail,cities,serviceTypes,uri,resourceType,id,createdBy,createdOn,updatedBy,updatedOn,firstName,lastName,jobTitle,primaryPhone,secondaryPhone,avatar"
whitelisted-ips,id,"ip,label,account,id,uri,resourceType"
workflow-instance-logs,id,"status,user,createdOn,workflowInstance,id,uri,resourceType"
workflow-instances,id,"currentStatus,workflow,modifiedOn,startedOn,logs,dispatchTask,id,uri,resourceType"
workflows,id,"name,statuses,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
workflow-statuses,id,"name,formatBackgroundColor,formatTextColor,warningThresholdInMinutes,alertThresholdInMinutes,id,uri,resourceType"
work-sessions,id,"startedOn,endedOn,initiationMethod,terminationMethod,status,employee,shift,durationHours,position,account,breaks,initiationPhoneNumber,terminationPhoneNumber,mobileDevice,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
zones,id,"name,description,customId,address,region,status,clients,positions,allowedAreas,restrictedAreas,timeZone,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
oauth2-refresh-tokens,id,"identifier,expiresOn,accessToken,isRevoked,id,uri,resourceType"
oauth2-auth-codes,id,"identifier,expiresOn,isRevoked,scopes,user,client,id,uri,resourceType"
whitelisted-ips,id,"ip,label,account,id,uri,resourceType"
user-notification-settings,id,"communications,user,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
report-flag-group-assignments,id,"reportFlag,reportFlagGroup,id,uri,resourceType"
